name	group	x	y
ARTE	1	-20.38	10.62
ARTE	1	-20.16	11.18
ARTE	1	-20.32	11.08
ARTE	1	-20.04	10.94
ARTE	1	-19.63	10.59
ARTE	1	-20.81	10.9
ARTE	1	-20.36	10.95
ARTE	1	-20.4	11.15
ARTE	1	-20.26	11.04
ARTE	1	-21.01	11.1
ARTE	1	-19.58	10.89
ARTE	1	-19.77	10.7
ARTE	1	-19.58	10.91
ARTE	1	-19.56	10.41
ARTE	1	-19.32	10.82
ARTE	1	-19.89	10.96
ARTE	1	-19.87	10.67
ARTE	1	-19.81	10.15
ARTE	1	-19.76	10.21
ARTE	1	-19.36	10.9
ARTE	1	-19.84	10.83
ARTE	1	-19.76	10.92
ARTE	1	-19.96	10.37
ARTE	1	-19.78	10.7
ATPU	2	-20.19	13.19
ATPU	2	-19.9	12.61
ATPU	2	-19.98	12.57
ATPU	2	-20.45	13.24
ATPU	2	-19.78	12.94
ATPU	2	-20.13	12.78
ATPU	2	-19.95	12.83
ATPU	2	-20.33	12.8
ATPU	2	-19.88	13.11
ATPU	2	-19.65	13.9
ATPU	2	-18.94	12.7
ATPU	2	-18.92	14.98
ATPU	2	-18.89	12.68
ATPU	2	-18.79	12.93
ATPU	2	-18.78	12.5
ATPU	2	-18.74	12.77
ATPU	2	-18.88	15.09
ATPU	2	-19.05	12.79
ATPU	2	-18.59	12.86
COMU	3	-19.29	13.36
COMU	3	-19.17	14.12
COMU	3	-19.16	13.41
COMU	3	-18.82	13.68
COMU	3	-18.23	13.76
COMU	3	-19.57	13.21
COMU	3	-19.24	13.53
COMU	3	-19.18	13.47
COTE	4	-19.4	11.22
COTE	4	-19.5	10.5
COTE	4	-20.67	11.13
COTE	4	-20.03	11.22
COTE	4	-19.85	11.79
COTE	4	-19.63	11.4
COTE	4	-19.52	10.98
COTE	4	-19.91	10.95
COTE	4	-19.85	11.09
COTE	4	-19.78	11.15
COTE	4	-19.41	11.31
COTE	4	-19.16	12.17
COTE	4	-20.11	10.9
COTE	4	-19.96	11.25
COTE	4	-19.67	11.48
COTE	4	-19.6	11.35
COTE	4	-18.7	11.56
COTE	4	-19.66	13.67
COTE	4	-19.39	10.45
COTE	4	-18.91	11.36
COTE	4	-19.07	10.88
COTE	4	-19.02	12.27
COTE	4	-19.1	11.19
LHSP	5	-19.76	12.84
LHSP	5	-19.67	12.84
LHSP	5	-19.1	13
LHSP	5	-19.17	12.54
LHSP	5	-20.02	12.44
LHSP	5	-19.95	13.25
LHSP	5	-19	13.52
LHSP	5	-20.26	12.91
LHSP	5	-19.6	13.11
LHSP	5	-18.48	12.97
LHSP	5	-18.17	13.77
LHSP	5	-19.91	12.91
LHSP	5	-19.46	12.9
LHSP	5	-19.97	14.35
LHSP	5	-19.43	12.88
LHSP	5	-19.44	12.72
RAZO	6	-18.98	13.37
RAZO	6	-18.95	14.05
RAZO	6	-18.78	13.63
RAZO	6	-18.98	13.98
RAZO	6	-20.06	13.43
RAZO	6	-19.37	13.37
RAZO	6	-18.86	14.17
RAZO	6	-19.29	13.37
RAZO	6	-19.02	14.07
RAZO	6	-18.96	14.07
RAZO	6	-18.91	14.21
RAZO	6	-18.97	14.28
RAZO	6	-18.5	13.12
RAZO	6	-18.76	13.5
RAZO	6	-18.68	12.7
RAZO	6	-18.46	13.17
RAZO	6	-18.41	12.94
RAZO	6	-18.96	12.88
RAZO	6	-18.55	13.14
RAZO	6	-18.55	13.04
