iso1,iso2,group,community
-15.54,11.34,Ferghana,UZ
-14.79,10,Ferghana,UZ
-15.69,10.92,Ferghana,UZ
-16.64,11.24,Ferghana,UZ
-15.81,11.21,Ferghana,UZ
-16.71,10.46,Ferghana,UZ
-15.68,11.12,Ferghana,UZ
-16.1,10.77,Ferghana,UZ
-15.53,11.27,Ferghana,UZ
-15.52,10.59,Ferghana,UZ
-17.17,10.55,Ferghana,UZ
-16.97,10.85,Ferghana,UZ
-17.1,9.91,Ferghana,UZ
-18.33,10.09,Ferghana,UZ
-16.68,11.71,Ferghana,UZ
-19.08,10.93,Zerafshan,UZ
-18.34,10.07,Zerafshan,UZ
-17.54,9.33,Zerafshan,UZ
-17.9,9.54,Zerafshan,UZ
-19.02,11.92,Zerafshan,UZ
-17.61,11.2,Zerafshan,UZ
-18.66,11.43,Zerafshan,UZ
-17.38,11.17,Zerafshan,UZ
-17.56,9.14,Zerafshan,UZ
-16.82,13.29,Tashkent,UZ
-17.11,12.56,Tashkent,UZ
-18.16,11.85,Tashkent,UZ
-18.22,12.51,Tashkent,UZ
-16.02,13.89,Tashkent,UZ
-17.19,13.5,Tashkent,UZ
-17.07,12.05,Tashkent,UZ
-18.03,12.7,Tashkent,UZ
-13.07,13.32,Khoresm,UZ
-12.71,11.57,Khoresm,UZ
-12.61,12.48,Khoresm,UZ
-15.11,13.99,Khoresm,UZ
-14.36,13.38,Khoresm,UZ
-13,13.01,Khoresm,UZ
-13.3,12.53,Khoresm,UZ
-12.4,12.4,Khoresm,UZ
-13.52,12.59,Khoresm,UZ
-15.3,12.7,Arys,KZ
-13.8,11.5,Arys,KZ
-12.4,12.9,Arys,KZ
-19.1,12.1,Arys,KZ
-18.2,10.7,Arys,KZ
-17.4,11.1,Arys,KZ
-16.8,12.1,Arys,KZ
-18.7,12.8,Arys,KZ
-18.6,11.9,Arys,KZ
-16.65,11.72,Ili,KZ
-17.26,10.97,Ili,KZ
-15.05,11.86,Ili,KZ
-18.09,10.4,Ili,KZ
-15.46,11.69,Ili,KZ
-15.2,11.43,Ili,KZ
-15.55,11.76,Ili,KZ
-10.66,11.32,Ili,KZ
-11.18,12.12,Ili,KZ
-12.11,11.71,Ili,KZ
-11.17,12.16,Ili,KZ
-15.34,10.71,Ili,KZ
-15.7,11.24,Ili,KZ
